date,opening_balance,inflows,outflows,closing_balance,category,variance_vs_forecast,forecast_balance
2025-04-11,17382400,1828500,1345500,17865400,Investing,24150,17841250
2025-04-18,17865400,1601900,1547700,17919600,Operating,2710,17916890
2025-04-25,17919600,1539200,2014200,17444600,Operating,-23750,17468350
2025-05-02,17444600,1743400,1516800,17671200,Financing,11330,17659870
2025-05-09,17671200,1962500,1653800,17979900,Investing,15435,17964465
2025-05-16,17979900,1982900,1626100,18336700,Operating,17840,18318860
2025-05-23,18336700,1583200,1592600,18327300,Operating,-470,18327770
2025-05-30,18327300,1586800,1265600,18648500,Financing,16060,18632440
2025-06-06,18648500,1562900,1318300,18893100,Investing,12230,18880870
2025-06-13,18893100,1567000,1383500,19076600,Operating,9175,19067425
2025-06-20,19076600,1583500,1400100,19260000,Operating,9170,19250830
2025-06-27,19260000,1618400,1337500,19540900,Financing,14045,19526855
